SSBSECT_TERM_CODE	SEMESTER	YEAR	SSBSECT_CRN	SSBSECT_SUBJ_CODE	STVDEPT_DESC	SSBSECT_CRSE_NUMB	SSBSECT_SEQ_NUMB	COURSE	SHORT_TITLE	LONG_TITLE	PRINT_TITLE	TYPE	SCBCRSE_DIVS_CODE	DIVSION_DESC	SCBCRSE_CREDIT_HR_LOW	SCBCRSE_CREDIT_HR_HIGH	DEFAULT_CREDITS	PRINT_CREDITS	SORT_SECTION	XLIST_1	XLIST_DESC_1	XLIST_2	XLIST_DESC_2	XLIST_3	XLIST_DESC_3	XLIST_4	XLIST_DESC_4	SSBSECT_MAX_ENRL	SSBSECT_WAIT_COUNT	SSBSECT_ENRL	SSBSECT_SEATS_AVAIL	SSBSECT_PTRM_CODE	PART_OF_SEMESTER	GRADE_MODE	HAS_FEE	MULTI_LEVEL_WITH	MULTI_LEVEL_PRINT	HAS_FINAL	FY	FOR_WHOM	IS_CP	INSTRUCTOR_LAST	INSTRUCTOR_FIRST	SSRMEET_BEGIN_TIME	SSRMEET_END_TIME	SSRMEET_BLDG_CODE	STVBLDG_DESC	SSRMEET_ROOM_CODE	SSRMEET_MON_DAY	SSRMEET_TUE_DAY	SSRMEET_WED_DAY	SSRMEET_THU_DAY	SSRMEET_FRI_DAY	SSRMEET_SAT_DAY	SSRMEET_SUN_DAY	PRINT_DAYS	PRINT_TIME	DIVISION_CREDIT	SPECIAL_PROGRAM	CRNKEY
202408	FALL	2024	71	PHYS	Physics	100L	A	PHYS 100L A	Physics I Lab		Physics I Lab	College	0003	Natural Science & Mathematics	0	1	0	0	E									18	0	9	9	1	Full Semester 	Ungraded				N	P	first semester with permission		Kramer	Eric	1440	1735	FSH	Fisher Science & Academic Ctr	113		T						T	2:40-5:35 PM	none	 	20240871
202408	FALL	2024	72	PHYS	Physics	100L	B	PHYS 100L B	Physics I Lab		Physics I Lab	College	0003	Natural Science & Mathematics	0	1	0	0	E									18	0	15	3	1	Full Semester 	Graded				N	P	first semester with permission		Kramer	Eric	1440	1735	FSH	Fisher Science & Academic Ctr	113					F			F	2:40-5:35 PM	none	 	20240872
202408	FALL	2024	72	PHYS	Physics	100L	B	PHYS 100L B	Physics I Lab		Physics I Lab	College	0003	Natural Science & Mathematics	0	1	0	0	E									18	0	15	3	1	Full Semester 	Ungraded				N	P	first semester with permission		Kramer	Eric	1440	1735	FSH	Fisher Science & Academic Ctr	113					F			F	2:40-5:35 PM	none	 	20240872
202408	FALL	2024	71	PHYS	Physics	100L	A	PHYS 100L A	Physics I Lab		Physics I Lab	College	0003	Natural Science & Mathematics	0	1	0	0	E									18	0	9	9	1	Full Semester 	Graded				N	P	first semester with permission		Kramer	Eric	1440	1735	FSH	Fisher Science & Academic Ctr	113		T						T	2:40-5:35 PM	none	 	20240871
202408	FALL	2024	2	PHYS	Physics	220	0	PHYS 220	Intro to Quantum Physics	Introduction to Quantum Physics	Introduction to Quantum Physics	College	0003	Natural Science & Mathematics	0	3	3	3	E									20	0	9	11	1	Full Semester 	Graded				1	P	first semester with permission		Hamadna	Sameer	1005	1100	FSH	Fisher Science & Academic Ctr	113	M		W		F			MWF	10:05-11:00 AM	SMC	 	2024082
202408	FALL	2024	3	PHYS	Physics	230	0	PHYS 230	Modern Physics Laboratory		Modern Physics Laboratory	College	0003	Natural Science & Mathematics	0	1	1	1	E									16	0	5	11	1	Full Semester 	Graded	$LOW			N	P	first semester with permission		Hamadna	Sameer	1440	1735	FSH	Fisher Science & Academic Ctr	113				R				R	2:40-5:35 PM	SMC	 	2024083
202408	FALL	2024	258	PHYS	Physics	420T	0	PHYS 420T	Quantum Mechanics I		Quantum Mechanics I	College	0003	Natural Science & Mathematics	0	4	4	4	E									10	0	6	4	1	Full Semester 	Graded						 		Bergman	Michael														-	SMC	 	202408258
202408	FALL	2024	279	POLS	Political Science	103	ME	POLS 103 ME	Government and Politics		US Government and Politics	Mount Everett	0004	Social Studies	3		3	3	E									20	0	13	7	1	Full Semester 	Graded						 		Hammill	John			MTE	Mount Everett Campus										-	none	Mount Everett	202408279
202408	FALL	2024	236	POLS	Political Science	229	0	POLS 229	Education,Emancipation&Politcs	The Ignorance of Schoolmasters and the Scandal of Democracy: Education, Emancipation, Politics	The Ignorance of Schoolmasters and the Scandal of Democracy: Education, Emancipation, Politics	College	0004	Social Studies	0	3	3	3	E									15	0	8	7	1	Full Semester 	Graded				N	P	first semester with permission		Abbas	Asma	0830	0955	ONL	Online		M		W					MW	8:30-9:55 AM	Social Studies	 	202408236
202408	FALL	2024	303	PSY	Psychology	232-B	0	PSY 232-B	BARD:Judgement&Decision Making		BARD:Judgement&Decision Making	Course at BARD	0004	Social Studies	4		4	4	E									5	0	0	5	1	Full Semester 	Graded						 				1700	1830				M			R				MR	5:00-6:30 PM	none	 	202408303
202408	FALL	2024	114	PSYC	Psychology	100	0	PSYC 100	Intro to Psychology	Introduction to Psychology	Introduction to Psychology	College	0004	Social Studies	0	3	3	3	E									30	0	30	0	1	Full Semester 	Graded				7	Y	first semester		O'Dwyer	Anne	0900	0955	LEC	Lecture Center	LC	M		W		F			MWF	9:00-9:55 AM	Social Studies	 	202408114
202408	FALL	2024	169	PSYC	Psychology	105M	1	PSYC 105M 1	Restorative Horticulture		Restorative Horticulture	College	0004	Social Studies	0	2	2	2	E	ENVS	Environmental Studies							15	0	7	8	2	MOD1	Graded	$MED			N	Y	first semester		Mikesell	Brian	1440	1605	FAR	Farm Cottage	MAIN		T		R				TR	2:40-4:05 PM	Social Studies	 	202408169
202408	FALL	2024	327	PSYC	Psychology	200T	AO	PSYC 200T AO	Psychology Tutorial		Intro CognitiveNeuropsychology	College	0004	Social Studies	1	3	3	3	E									5	0	1	4	1	Full Semester 	Graded						 		O'Dwyer	Anne														-	none	 	202408327
202408	FALL	2024	333	PSYC	Psychology	200T	JD	PSYC 200T JD	Psychology Tutorial		Child/Adol Psychopathology	College	0004	Social Studies	1	3	3	3	E									5	0	1	4	1	Full Semester 	Graded						 		Daniels	Jennifer														-	none	 	202408333
